location,year,km_run,fuel,trans,owner,mileage,engine,power,seats,brand,model
Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,Tata,Indica
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,Audi,A4
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,Honda,City
Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,Maruti,Ertiga
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,Hyundai,Creta
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,Porsche,Cayenne
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,Hyundai,i10
Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,Nissan,Terrano
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,Honda,Brio
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,Audi,A6
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,,5.0,Ford,Fiesta
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,Toyota,Innova
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,Tata,Zest
Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,Honda,Amaze
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,Maruti,Ritz
Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,BMW,5
Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,,5.0,Hyundai,Santro
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,Honda,Amaze
Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport
Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,Hyundai,Verna
Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,Volkswagen,Polo
Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,Hyundai,i20
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,Hyundai,i20
Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,Datsun,GO
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,Audi,A4
Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,Hyundai,i20
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,Maruti,Omni
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,Toyota,Etios
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,Jaguar,XF
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,Mahindra,XUV500
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,Maruti,Eeco
Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,Tata,Nano
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3
Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,Honda,Civic
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,Volvo,V40
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,Nissan,Micra
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,BMW,5
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,Hyundai,Santro
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,Mercedes-Benz,B
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,Hyundai,Verna
Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,Tata,Nano
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,Mahindra,Scorpio
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,Mercedes-Benz,New
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,Honda,CR-V
Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,Volkswagen,Vento
Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,Maruti,Ritz
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,Maruti,Alto
Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,Mercedes-Benz,SLC
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,Hyundai,Verna
Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,BMW,1
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,Honda,Jazz
Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,Honda,Civic
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,Mercedes-Benz,New
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,Maruti,Swift
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,,5.0,Hyundai,Santro
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,Toyota,Fortuner
Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,Chevrolet,Beat
Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,Skoda,Rapid
Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,Audi,RS5
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,BMW,3
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,Audi,A4
Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,Mercedes-Benz,S
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,Skoda,Rapid
Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,Skoda,Superb
Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,Datsun,GO
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,Mercedes-Benz,B
Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,Honda,City
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,Volkswagen,Vento
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,Ford,Figo
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,BMW,X5
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,Honda,Brio
Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,Mercedes-Benz,GLC
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,Audi,A6
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,Volkswagen,Vento
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,Mini,Countryman
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,Chevrolet,Beat
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,Skoda,Superb
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,Ford,Fiesta
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,BMW,5
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,Chevrolet,Optra
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,Renault,Lodgy
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,Mercedes-Benz,E-Class
Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10
Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,Mahindra,Scorpio
Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,Land,Rover
Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,Maruti,Ertiga
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,Skoda,Laura
Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,Renault,Duster
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,Mahindra,NuvoSport
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,Skoda,Fabia
Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,Tata,Indigo
Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,Skoda,Octavia
Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,Toyota,Etios
Kolkata,2010,42001,Petrol,Manual,First,16.1,,,5.0,Maruti,Swift
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,Mercedes-Benz,B
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,Honda,Amaze
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,Hyundai,Verna
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,Renault,Duster
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,Hyundai,Creta
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,Maruti,Wagon
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,Mercedes-Benz,New
Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,Audi,A8
Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,Hyundai,i10
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,Skoda,Rapid
Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,Skoda,Superb
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,Hyundai,i20
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze
Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,Maruti,Wagon
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,Mahindra,Verito
Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,Maruti,Wagon
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,Nissan,Terrano
Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,,5.0,Maruti,Swift
Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,Mini,Cooper
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,Tata,Indica
Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,Chevrolet,Beat
Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,Ford,Figo
Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova
Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,Hyundai,Santa
Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,Honda,City
Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,Chevrolet,Beat
Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,Maruti,Ertiga
Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086.0,,5.0,Hyundai,Santro
Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City
Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,BMW,X1
Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,Hyundai,Grand
Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz
Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,Skoda,Rapid
Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,Hyundai,Accent
Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,Volkswagen,Polo
Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz
Jaipur,2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10
Kochi,2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,Hyundai,Tucson
Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,Toyota,Innova
Jaipur,2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,Maruti,Omni
Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,Maruti,Swift
Mumbai,2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,Hyundai,Verna
Mumbai,2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,Hyundai,i20
Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,Mercedes-Benz,GLE
Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,Mercedes-Benz,New
Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,Maruti,Ritz
Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta
Pune,2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,Maruti,A-Star
Delhi,2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,Renault,Duster
Delhi,2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,Fiat,Grande
Coimbatore,2017,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,BMW,X3
Bangalore,2010,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,Hyundai,i10
Pune,2016,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
Mumbai,2002,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,Maruti,Zen
Hyderabad,2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
Pune,2013,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,Mahindra,Scorpio
Pune,2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,Tata,Zest
Mumbai,2017,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,Ford,EcoSport
Jaipur,2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,Maruti,Swift
Kochi,2016,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto
Jaipur,2011,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,Honda,City
Kochi,2018,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,Audi,Q7
Mumbai,2009,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,Skoda,Laura
Kochi,2012,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,Hyundai,Verna
Jaipur,2009,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,Honda,City
Kolkata,2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,Hyundai,i20
Coimbatore,2014,45051,Petrol,Automatic,First,15.0,1396.0,98.6,5.0,Hyundai,i20
Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento
Ahmedabad,2014,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,Honda,City
